id,name,coordinacion_id/id
laboratorio_domisanitarios_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,Domisanitarios,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat
laboratorio_domisanitarios/fertilizantes_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,Domisanitarios/Fertilizantes,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat
laboratorio_dpre_coordinacion_intn_departamento_dpre-departamento_de_pre_medidos_unidad_umle_organismo_onm,DPRE,coordinacion_intn_departamento_dpre-departamento_de_pre_medidos_unidad_umle_organismo_onm
laboratorio_dram_coordinacion_intn_departamento_dram-departamento_de_reglamentos_y_aprobacion_de_modelos_unidad_umle_organismo_onm,DRAM,coordinacion_intn_departamento_dram-departamento_de_reglamentos_y_aprobacion_de_modelos_unidad_umle_organismo_onm
laboratorio_dsse_coordinacion_intn_departamento_dram-departamento_de_reglamentos_y_aprobacion_de_modelos_unidad_umle_organismo_onm,DSSE,coordinacion_intn_departamento_dram-departamento_de_reglamentos_y_aprobacion_de_modelos_unidad_umle_organismo_onm
laboratorio_dsse_coordinacion_intn_departamento_dsse-departamento_de_salud_y_seguridad_unidad_umle_organismo_onm,DSSE,coordinacion_intn_departamento_dsse-departamento_de_salud_y_seguridad_unidad_umle_organismo_onm
laboratorio_fertilizantes_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,Fertilizantes,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat
laboratorio_fertilizantes/domisanitarios_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,Fertilizantes/Domisanitarios,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat
laboratorio_fertilizantes/suelo_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,Fertilizantes/Suelo,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat
laboratorio_fetilizantes/domisanitarios_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,Fetilizantes/Domisanitarios,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat
laboratorio_fisicomecanico_coordinacion_intn_departamento_matcons-material_de_construccion_unidad_intn_organismo_oni,Fisicomecanico,coordinacion_intn_departamento_matcons-material_de_construccion_unidad_intn_organismo_oni
laboratorio_fisicoquimico_coordinacion_intn_departamento_matcons-material_de_construccion_unidad_intn_organismo_oni,Fisicoquimico,coordinacion_intn_departamento_matcons-material_de_construccion_unidad_intn_organismo_oni
laboratorio_intn_coordinacion_intn_departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,Laboratorio INTN,coordinacion_intn_departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat
laboratorio_intn_coordinacion_intn_departamento_dcpe_-_departamento_de_certificacion_de_personas_unidad_intn_organismo_onc,Laboratorio INTN,coordinacion_intn_departamento_dcpe_-_departamento_de_certificacion_de_personas_unidad_intn_organismo_onc
laboratorio_intn_coordinacion_intn_departamento_dcpr_unidad_intn_organismo_onc,Laboratorio INTN,coordinacion_intn_departamento_dcpr_unidad_intn_organismo_onc
laboratorio_intn_coordinacion_intn_departamento_dcsi_-_departamento_de_certificacion_de_sistemas_unidad_intn_organismo_onc,Laboratorio INTN,coordinacion_intn_departamento_dcsi_-_departamento_de_certificacion_de_sistemas_unidad_intn_organismo_onc
laboratorio_intn_coordinacion_intn_departamento_de_control_de_organismo_de_evaluacion_de_la_conformidad_-_coec_unidad_intn_organismo_dse,Laboratorio INTN,coordinacion_intn_departamento_de_control_de_organismo_de_evaluacion_de_la_conformidad_-_coec_unidad_intn_organismo_dse
laboratorio_intn_coordinacion_intn_departamento_dram-departamento_de_reglamentos_y_aprobacion_de_modelos_unidad_umle_organismo_onm,Laboratorio INTN,coordinacion_intn_departamento_dram-departamento_de_reglamentos_y_aprobacion_de_modelos_unidad_umle_organismo_onm
laboratorio_intn_coordinacion_intn_departamento_dsdc_-_departamento_de_servicios_de_capacitacion_unidad_intn_organismo_onn,Laboratorio INTN,coordinacion_intn_departamento_dsdc_-_departamento_de_servicios_de_capacitacion_unidad_intn_organismo_onn
laboratorio_intn_coordinacion_intn_departamento_microbiologia_unidad_intn_organismo_oiat,Laboratorio INTN,coordinacion_intn_departamento_microbiologia_unidad_intn_organismo_oiat
laboratorio_masa_coordinacion_intn_departamento_dvir-departamento_de_instrumentos_reglamentos_unidad_umle_organismo_onm,Masa,coordinacion_intn_departamento_dvir-departamento_de_instrumentos_reglamentos_unidad_umle_organismo_onm
laboratorio_polvo_quimico_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,Polvo Quimico,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat
laboratorio_polvo_quimico_para_extintores_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,Polvo quimico para extintores,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat
laboratorio_preparacion_de_reactivos_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,Preparación de reactivos,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat
laboratorio_preparcion_de_recativos_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,Preparcion de recativos,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat
laboratorio_suelo_para_cultivo_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,Suelo para cultivo,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat
laboratorio_volumen_coordinacion_intn_departamento_dvir-departamento_de_instrumentos_reglamentos_unidad_umle_organismo_onm,Volumen,coordinacion_intn_departamento_dvir-departamento_de_instrumentos_reglamentos_unidad_umle_organismo_onm
