id,name,unidad_id/id
departamento_citn_unidad_intn_organismo_onn,CITN,unidad_intn_organismo_onn
departamento_combustible_unidad_uqui_organismo_oiat,COMBUSTIBLE,unidad_uqui_organismo_oiat
departamento_de_alimentos_unidad_uaal_organismo_oiat,DEPARTAMENTO DE ALIMENTOS,unidad_uaal_organismo_oiat
departamento_dein_-_departamento_de_ensayos_instrumentales_unidad_uaal_organismo_oiat,DEIN - DEPARTAMENTO DE ENSAYOS INSTRUMENTALES,unidad_uaal_organismo_oiat
departamento_ensayos_ambientales_unidad_quimica_industrial_organismo_oiat,ENSAYOS AMBIENTALES,unidad_quimica_industrial_organismo_oiat
departamento_intn_unidad_uqui_organismo_oiat,DEPARTAMENTO INTN,unidad_uqui_organismo_oiat
departamento_investigacion_y_desarrollo_unidad_oiat_organismo_oiat,INVESTIGACION Y DESARROLLO,unidad_oiat_organismo_oiat
departamento_medicamentos_unidad_uqui_organismo_oiat,MEDICAMENTOS,unidad_uqui_organismo_oiat
departamento_medicamentos/alim_unidad_uqui_organismo_oiat,MEDICAMENTOS/ALIM,unidad_uqui_organismo_oiat
departamento_medicamentos/certificacion_unidad_intn_organismo_onc,MEDICAMENTOS/CERTIFICACION,unidad_intn_organismo_onc
departamento_medicamentos/certificacion_unidad_uqui_organismo_oiat,MEDICAMENTOS/CERTIFICACION,unidad_uqui_organismo_oiat
departamento_medicamentos/combustible_unidad_uqui_organismo_oiat,MEDICAMENTOS/COMBUSTIBLE,unidad_uqui_organismo_oiat
departamento_medicamentos/dein_unidad_uqui_organismo_oiat,MEDICAMENTOS/DEIN,unidad_uqui_organismo_oiat
departamento_medicamentos/dein(_dpto._ensayos_instrumentales)/enin(dpto._ensayos_inorganicos)/eemb(dpto._envases_y_embalajes)_unidad_uqui_organismo_oiat,MEDICAMENTOS/DEIN( DPTO. ENSAYOS INSTRUMENTALES)/ENIN(DPTO. ENSAYOS INORGANICOS)/EEMB(DPTO. ENVASES Y EMBALAJES),unidad_uqui_organismo_oiat
departamento_medicamentos/dein/enin/eemb_unidad_uqui_organismo_oiat,MEDICAMENTOS/DEIN/ENIN/EEMB,unidad_uqui_organismo_oiat
departamento_medicamentos/eemb_unidad_uqui_organismo_oiat,MEDICAMENTOS/EEMB,unidad_uqui_organismo_oiat
departamento_medicamentos/enin_unidad_uqui_organismo_oiat,MEDICAMENTOS/ENIN,unidad_uqui_organismo_oiat
departamento_medicamentos/mat._de_construccion_unidad_uqui_organismo_oiat,MEDICAMENTOS/MAT. DE CONSTRUCCION,unidad_uqui_organismo_oiat
departamento_medicamentos/microbiologia_unidad_uqui_organismo_oiat,MEDICAMENTOS/MICROBIOLOGIA,unidad_uqui_organismo_oiat
departamento_medicamentos/microbiologiab_unidad_uqui_organismo_oiat,MEDICAMENTOS/MICROBIOLOGIAB,unidad_uqui_organismo_oiat
departamento_medicamentos/microbiologiag_unidad_uqui_organismo_oiat,MEDICAMENTOS/MICROBIOLOGIAG,unidad_uqui_organismo_oiat
departamento_medicamentos/textil_unidad_uqui_organismo_oiat,MEDICAMENTOS/TEXTIL,unidad_uqui_organismo_oiat
departamento_microbiologia_unidad_uqui_organismo_oiat,MICROBIOLOGIA,unidad_uqui_organismo_oiat
