id,name,determinacion,list_price,lst_price,organismo_id/id,unidad_id/id,departamento_id/id,coordinacion_id/id,laboratorio_id/id,verificacion_insitu,active,type
np_1_006_71 _ctn_01,NP 1 006 71 ,CTN 01,26000,26000,organismo_onn,unidad_intn_organismo_onn,departamento_citn_unidad_intn_organismo_onn,coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,laboratorio_intn_coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,False,True,Consumible
np_1_008_73 _ctn_01,NP 1 008 73 ,CTN 01,28000,28000,organismo_onn,unidad_intn_organismo_onn,departamento_citn_unidad_intn_organismo_onn,coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,laboratorio_intn_coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,False,True,Consumible
np_1_010_73_ctn_01,NP 1 010 73,CTN 01,28000,28000,organismo_onn,unidad_intn_organismo_onn,departamento_citn_unidad_intn_organismo_onn,coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,laboratorio_intn_coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,False,True,Consumible
np_1_012_73_ctn_01,NP 1 012 73,CTN 01,28000,28000,organismo_onn,unidad_intn_organismo_onn,departamento_citn_unidad_intn_organismo_onn,coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,laboratorio_intn_coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,False,True,Consumible
np_1_013_14_ctn_01,NP 1 013 14,CTN 01,34000,34000,organismo_onn,unidad_intn_organismo_onn,departamento_citn_unidad_intn_organismo_onn,coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,laboratorio_intn_coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,False,True,Consumible
np_1_014_14_ctn_01,NP 1 014 14,CTN 01,36000,36000,organismo_onn,unidad_intn_organismo_onn,departamento_citn_unidad_intn_organismo_onn,coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,laboratorio_intn_coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,False,True,Consumible
np_1_015_15_ctn_01,NP 1 015 15,CTN 01,50000,50000,organismo_onn,unidad_intn_organismo_onn,departamento_citn_unidad_intn_organismo_onn,coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,laboratorio_intn_coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,False,True,Consumible
np_1_016_15_ctn_01,NP 1 016 15,CTN 01,52000,52000,organismo_onn,unidad_intn_organismo_onn,departamento_citn_unidad_intn_organismo_onn,coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,laboratorio_intn_coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,False,True,Consumible
np_1_017_15_ctn_01,NP 1 017 15,CTN 01,54000,54000,organismo_onn,unidad_intn_organismo_onn,departamento_citn_unidad_intn_organismo_onn,coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,laboratorio_intn_coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,False,True,Consumible
np_1_018_15_ctn_01,NP 1 018 15,CTN 01,56000,56000,organismo_onn,unidad_intn_organismo_onn,departamento_citn_unidad_intn_organismo_onn,coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,laboratorio_intn_coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,False,True,Consumible
np_1_019_15_ctn_01,NP 1 019 15,CTN 01,34000,34000,organismo_onn,unidad_intn_organismo_onn,departamento_citn_unidad_intn_organismo_onn,coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,laboratorio_intn_coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,False,True,Consumible
np_1_020_15_ctn_01,NP 1 020 15,CTN 01,34000,34000,organismo_onn,unidad_intn_organismo_onn,departamento_citn_unidad_intn_organismo_onn,coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,laboratorio_intn_coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,False,True,Consumible
np_1_021_15_ctn_01,NP 1 021 15,CTN 01,32000,32000,organismo_onn,unidad_intn_organismo_onn,departamento_citn_unidad_intn_organismo_onn,coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,laboratorio_intn_coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,False,True,Consumible
np_1_022_15_ctn_01,NP 1 022 15,CTN 01,34000,34000,organismo_onn,unidad_intn_organismo_onn,departamento_citn_unidad_intn_organismo_onn,coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,laboratorio_intn_coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,False,True,Consumible
np_288_ctn_02,NP 288,CTN 02,68000,68000,organismo_onn,unidad_intn_organismo_onn,departamento_citn_unidad_intn_organismo_onn,coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,laboratorio_intn_coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,False,True,Consumible
