id,name,departamento_id/id
coordinacion_intn_departamento_alim_unidad_uaal_organismo_oiat,Coordinación INTN,departamento_alim_unidad_uaal_organismo_oiat
coordinacion_intn_departamento_alim_unidad_uqui_organismo_oiat,Coordinación INTN,departamento_alim_unidad_uqui_organismo_oiat
coordinacion_intn_departamento_citn_unidad_intn_organismo_onn,Coordinación INTN,departamento_citn_unidad_intn_organismo_onn
coordinacion_intn_departamento_comb_unidad_uqui_organismo_oiat,Coordinación INTN,departamento_comb_unidad_uqui_organismo_oiat
coordinacion_intn_departamento_ctecnico_unidad_intn_organismo_dg,Coordinación INTN,departamento_ctecnico_unidad_intn_organismo_dg
coordinacion_intn_departamento_cueros_unidad_intn_organismo_oni,Coordinación INTN,departamento_cueros_unidad_intn_organismo_oni
coordinacion_intn_departamento_daf_unidad_intn_organismo_daf,Coordinación INTN,departamento_daf_unidad_intn_organismo_daf
coordinacion_intn_departamento_dcpe_unidad_intn_organismo_onc,Coordinación INTN,departamento_dcpe_unidad_intn_organismo_onc
coordinacion_intn_departamento_dcpr_unidad_intn_organismo_onc,Coordinación INTN,departamento_dcpr_unidad_intn_organismo_onc
coordinacion_intn_departamento_dip_unidad_intn_organismo_oni,Coordinación INTN,departamento_dip_unidad_intn_organismo_oni
coordinacion_intn_departamento_dram_unidad_umle_organismo_onm,Coordinación INTN,departamento_dram_unidad_umle_organismo_onm
coordinacion_intn_departamento_eemb_unidad_intn_organismo_oni,Coordinación INTN,departamento_eemb_unidad_intn_organismo_oni
coordinacion_intn_departamento_enam_unidad_uqui_organismo_oiat,Coordinación INTN,departamento_enam_unidad_uqui_organismo_oiat
coordinacion_intn_departamento_enin_unidad_uqui_organismo_oiat,Coordinación INTN,departamento_enin_unidad_uqui_organismo_oiat
coordinacion_intn_departamento_insp_unidad_intn_organismo_oni,Coordinación INTN,departamento_insp_unidad_intn_organismo_oni
coordinacion_intn_departamento_lfu_unidad_umci_organismo_onm,Coordinación INTN,departamento_lfu_unidad_umci_organismo_onm
coordinacion_intn_departamento_llo_unidad_umci_organismo_onm,Coordinación INTN,departamento_llo_unidad_umci_organismo_onm
coordinacion_intn_departamento_lma_unidad_umci_organismo_onm,Coordinación INTN,departamento_lma_unidad_umci_organismo_onm
coordinacion_intn_departamento_lpr_unidad_umci_organismo_onm,Coordinación INTN,departamento_lpr_unidad_umci_organismo_onm
coordinacion_intn_departamento_lte_unidad_umci_organismo_onm,Coordinación INTN,departamento_lte_unidad_umci_organismo_onm
coordinacion_intn_departamento_lvd_unidad_umci_organismo_onm,Coordinación INTN,departamento_lvd_unidad_umci_organismo_onm
coordinacion_intn_departamento_matcons_unidad_intn_organismo_oni,Coordinación INTN,departamento_matcons_unidad_intn_organismo_oni
coordinacion_intn_departamento_medi_unidad_uqui_organismo_oiat,Coordinación INTN,departamento_medi_unidad_uqui_organismo_oiat
coordinacion_intn_departamento_metal_unidad_intn_organismo_oni,Coordinación INTN,departamento_metal_unidad_intn_organismo_oni
coordinacion_intn_departamento_micro_unidad_uqui_organismo_oiat,Coordinación INTN,departamento_micro_unidad_uqui_organismo_oiat
coordinacion_intn_departamento_segur_unidad_intn_organismo_oni,Coordinación INTN,departamento_segur_unidad_intn_organismo_oni
coordinacion_intn_departamento_textil_unidad_intn_organismo_oni,Coordinación INTN,departamento_textil_unidad_intn_organismo_oni
coordinacion_intn_departamento_umle_unidad_umle_organismo_onm,Coordinación INTN,departamento_umle_unidad_umle_organismo_onm
